1,Columbia-ds,Columbia University,0.711207,6/1/2016 21:13
2,Dataminers,North Carolina State University,0.704545,6/1/2016 21:37
3,Olympian,University of Texas at Dallas,0.693182,6/2/2016 18:02
4,hundred,DePaul University,0.690168,6/1/2016 20:21
5,CHK,Stevens Institute of Technology,0.689004,6/2/2016 10:44
6,White Sox,DePaul University,0.688616,6/2/2016 7:19
7,ML@USC,University of Southern California,0.688486,6/2/2016 10:39
8,composersyf,University of VIrginia,0.688486,6/3/2016 16:45
9,comets, University Of Texas at Dallas,0.688357,6/2/2016 12:32
10,ZenMaster,University of Cincinnati,0.688228,6/2/2016 17:29
11,NTKMachine,University Of Cincinnati,0.687581,6/2/2016 10:24
12,Fantastic Five,Georgia State University,0.687322,6/1/2016 20:53
13,Sparky,Arizona State University,0.687063,6/7/2016 21:27
14,Weka,The University of Texas at Austin,0.685899,6/2/2016 1:53
15,ChrisKrish,Drexel University,0.685899,6/2/2016 7:59
16,hoosiers,Indiana University Bloomington,0.68577,6/1/2016 21:09
17,TTURaiders,Texas TEch University,0.68577,6/5/2016 18:24
18,yellow42,"University of Maryland, College Park",0.685511,6/1/2016 23:19
19,Lift,University of Connecticut,0.685511,6/4/2016 15:42
20,DPU,DePaul University,0.685382,6/2/2016 17:52
21,Yan&Chen,Worcester Polytechnic Institute,0.685123,6/2/2016 13:10
22,SNAP Shot,University of Buffalo,0.684211,6/1/2016 22:26
23,P2B,DePaul University,0.683441,6/4/2016 13:12
24,Data Is Beautiful,State University of New York at Buffalo,0.683182,6/1/2016 22:31
25,DataDog,Cornell University,0.683053,6/4/2016 19:54
26,Alex Devine - DePaul University,DePaul University,0.682665,6/3/2016 18:26
27,ForeSeer,"University of Illinois, Chicago",0.682665,6/3/2016 21:46
28,Analyze that!!,"SUNY, University at Buffalo",0.682406,6/1/2016 20:42
29,Analyst_1,University of Texas at Dallas,0.682406,6/1/2016 22:53
30,Data xperts1,OSU,0.681371,6/3/2016 5:16
31,Furonics,University of Colorado Boulder,0.680336,6/2/2016 11:48
32,HackaSquirrels,Lehigh University,0.680078,6/1/2016 22:43
33,Phoenix,UNC Charlotte,0.678784,6/5/2016 1:20
34,Qiudong Deng,georgia state university,0.678266,6/3/2016 7:27
35,losblancos,Arizona State University,0.677232,6/3/2016 17:41
36,DataNiners,UNC charlotte,0.676455,6/3/2016 18:13
37,fanatics,University of Texas at Arlington,0.676067,6/4/2016 18:52
38,HongKongReporter,Carnegie Mellon University,0.675291,6/1/2016 23:45
39,Siva Krishna,University of North Carolina at Charlotte,0.674644,6/3/2016 10:10
40,Falcon Miners,Bentley University,0.673895,6/5/2016 18:40
41,silentMiners,Arizona State University,0.673441,6/5/2016 11:27
42,Arpita,Illinois Institute of Technology,0.66727,6/2/2016 14:48
43,BENCH MARK,RANG-KVRA,0.667141,5/27/2016 14:30
44,Hofstra Pride,Hofstra University,0.655886,6/1/2016 22:51
45,SmartSnake,Rutgers,0.653169,6/3/2016 20:11
46,Ms. Doudou,University of Southern California,0.634929,6/1/2016 22:46
47,utdpokemon,University Of Texas at Dallas,0.626908,6/1/2016 20:39
48,Miner49er,University at Buffalo,0.494179,6/2/2016 18:46
